angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
103,-0.6135923266410828,5.795986890792847,2.8998610973358154,7.153755307197571,1.2048496186733246,7.983869409561158,5.082345610694201,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
104,-0.5890486240386963,5.429799795150757,2.7548621892929077,6.710418343544006,1.258421677350998,7.5479257106781015,4.789839355962144,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
105,-0.564504861831665,5.092548847198486,2.617585778236389,6.241495966911316,1.3073246002197265,7.080907011032105,4.504450576083942,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
106,-0.5399612784385681,4.82099461555481,2.5051584243774414,5.808309316635132,1.327158659696579,6.617526245117189,4.249203930713788,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
107,-0.5154175758361816,4.564023971557617,2.4483835101127625,5.4686644077301025,1.3097604095935822,6.224780488014221,4.04343547253697,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
108,-0.49087387323379517,4.2654643058776855,2.452552020549774,5.244699478149414,1.2564769089221954,6.050418066978454,3.8990631572833214,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
109,-0.4663301706314087,3.9968717098236084,2.472053587436676,5.093581914901733,1.1895585119724275,6.068521499633789,3.8181905495175332,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
110,-0.4417864680290222,3.846686601638794,2.4934422969818115,5.026294708251953,1.1169735074043274,6.225458383560181,3.7935063793261845,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
111,-0.41724279522895813,3.792261838912964,2.494866728782654,5.063058257102966,1.044605737924576,6.457477974891662,3.810700243487954,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
112,-0.39269912242889404,3.76783287525177,2.4791000485420227,5.176781415939331,0.9924367517232895,6.716284203529358,3.851403549691593,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
113,-0.3681553900241852,3.757325530052185,2.4401809573173523,5.304019927978516,0.9603773802518845,6.951124477386475,3.8965663378002744,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
114,-0.3436117172241211,3.750342011451721,2.385124623775482,5.3980923891067505,0.9641346395015716,7.115772986412049,3.9297309083553653,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
115,-0.319068044424057,3.736249566078186,2.312018096446991,5.434754967689514,1.0272359490394591,7.187523770332336,3.937932151099667,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
116,-0.29452431201934814,3.70313036441803,2.2224113941192627,5.400271058082581,1.1235422909259796,7.152980184555054,3.9113433665568356,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
117,-0.26998063921928406,3.652616500854492,2.1414473056793213,5.286485075950623,1.202056449651718,7.006479859352112,3.844272219940882,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
118,-0.24543693661689758,3.567129969596863,2.1261038780212402,5.0934906005859375,1.243792712688446,6.7538086652755736,3.7358526264541543,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
119,-0.2208932340145111,3.4434897899627686,2.135140359401703,4.8328739404678345,1.247322577238083,6.404267621040345,3.589403805301904,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
120,-0.19634956121444702,3.2911707162857056,2.1394291520118713,4.511550426483154,1.2270084202289582,5.970060825347901,3.4112486662194823,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
121,-0.17180585861206055,3.12701153755188,2.133194148540497,4.144866704940796,1.1954016268253327,5.466596841812135,3.209507220621324,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
